"id","timestamp","air_humidity","temperature","pm2_5","rainfall","wind_speed","soil_moisture"
"88","2024-04-20 07:08:22","84","30","45","0.2","9","3202"
"89","2024-04-20 07:13:22","84","30","45","0.2","9","3161"
"90","2024-04-20 07:18:22","84","30","45","0.2","9","3202"
"91","2024-04-20 07:23:23","84","30","45","0.2","9","3132"
"92","2024-04-20 07:28:22","84","30","45","0.2","9","3136"
"93","2024-04-20 07:33:22","84","30","45","0.2","9","3071"
"94","2024-04-20 07:38:22","84","30","45","0.2","9","3189"
"95","2024-04-20 07:43:22","84","30","45","0.2","9","3147"
"96","2024-04-20 07:48:22","67","30.7","45","0.2","11.9","3142"
"97","2024-04-20 07:53:22","67","30.7","45","0.2","11.9","3187"
"98","2024-04-20 07:58:22","67","30.7","45","0.2","11.9","3130"
"99","2024-04-20 08:03:22","60","32","45","0","11.2","3043"
"100","2024-04-20 08:08:22","60","32","45","0","11.2","3248"
"101","2024-04-20 08:13:22","60","32","45","0","11.2","3187"
"102","2024-04-20 08:18:22","67","32","45","0","11.2","3130"
"103","2024-04-20 08:23:22","67","32","45","0","11.2","3160"
"104","2024-04-20 08:28:22","67","32","45","0","11.2","3137"
"105","2024-04-20 08:33:22","67","32","45","0","11.2","3159"
"106","2024-04-20 08:38:22","67","32","45","0","11.2","3168"
"107","2024-04-20 08:43:23","67","32","45","0","11.2","3164"
"108","2024-04-20 08:48:22","59","33","45","0","11.2","3192"
"109","2024-04-20 08:53:22","59","33","45","0","11.2","3175"
"110","2024-04-20 08:58:22","59","33","45","0","11.2","3190"
"111","2024-04-20 09:03:22","59","33","44","0","11.2","3169"
"112","2024-04-20 09:08:22","59","33","44","0","11.2","3185"
"113","2024-04-20 09:13:22","59","33","44","0","11.2","3162"
"114","2024-04-20 09:18:22","50","34","44","0","11.2","3152"
"115","2024-04-20 09:23:22","50","34","44","0","11.2","3131"
"116","2024-04-20 09:28:22","50","34","44","0","11.2","3152"
"117","2024-04-20 09:33:22","50","34","44","0","11.2","3212"
"118","2024-04-20 09:38:22","50","34","44","0","11.2","3107"
"119","2024-04-20 09:43:22","50","34","44","0","11.2","3197"
"120","2024-04-20 09:48:22","50","34","44","0","11.2","3260"
"121","2024-04-20 09:53:22","50","34","44","0","11.2","3197"
"122","2024-04-20 09:58:22","50","34","44","0","11.2","3149"
"123","2024-04-20 10:03:22","50","34","43","0","11.2","3149"
"124","2024-04-20 10:08:22","50","34","43","0","11.2","3119"
"125","2024-04-20 10:13:22","50","34","43","0","11.2","3184"
"126","2024-04-20 10:18:22","44","35","43","0","15.1","3136"
"127","2024-04-20 10:23:22","44","35","43","0","15.1","3216"
"128","2024-04-20 10:28:22","44","35","43","0","15.1","3212"
"129","2024-04-20 10:33:22","44","35","43","0","15.1","3184"
"130","2024-04-20 10:38:22","44","35","43","0","15.1","3167"
"131","2024-04-20 10:43:22","44","35","43","0","15.1","3228"
"132","2024-04-20 10:48:22","44","35","43","0","13","3175"
"133","2024-04-20 10:53:22","44","35","43","0","13","3152"
"134","2024-04-20 10:58:22","44","35","43","0","13","3121"
"135","2024-04-20 11:03:22","44","35","37","0","13","3226"
"136","2024-04-20 11:08:22","44","35","37","0","13","3125"
"137","2024-04-20 11:13:22","44","35","37","0","13","3182"
"138","2024-04-20 11:18:22","44","35","37","0","13","3195"
"139","2024-04-20 11:23:23","37","36","37","0","13","3129"
"140","2024-04-20 11:26:17","37","36","37","0","13","3191"
"141","2024-04-20 11:31:18","37","36","37","0","13","3173"
"142","2024-04-20 11:36:17","37","36","37","0","13","3183"
"143","2024-04-20 11:41:18","37","36","37","0","13","3229"
"144","2024-04-20 11:46:17","37","36","37","0","13","3185"
"145","2024-04-20 11:51:18","35","36","37","0","11.2","3179"
"146","2024-04-20 11:56:17","35","36","37","0","11.2","2978"
"147","2024-04-20 12:01:18","35","36","33","0","11.2","3121"
"148","2024-04-20 12:06:17","35","36","33","0","11.2","3154"
"149","2024-04-20 12:11:18","35","36","33","0","11.2","3147"
"150","2024-04-20 12:16:17","33","37","33","0","11.2","3344"
"151","2024-04-20 12:21:18","33","37","33","0","11.2","3122"
"152","2024-04-20 12:26:17","33","37","33","0","11.2","3242"
"153","2024-04-20 12:31:18","33","37","33","0","11.2","3183"
"154","2024-04-20 12:36:17","33","37","33","0","11.2","3142"
"155","2024-04-20 12:41:18","33","37","33","0","11.2","3145"
"156","2024-04-20 12:46:17","33","37","33","0","11.2","3202"
"157","2024-04-20 12:51:18","33","38","33","0","3.6","3203"
"158","2024-04-20 12:56:17","33","38","33","0","3.6","3215"
"159","2024-04-20 13:01:18","33","38","33","0","3.6","3202"
"160","2024-04-20 13:06:17","33","38","32","0","3.6","3167"
"161","2024-04-20 13:11:18","33","38","32","0","3.6","3101"
"162","2024-04-20 13:16:17","33","38","32","0","3.6","3201"
"163","2024-04-20 13:21:17","30","39","32","0","3.6","3143"
"164","2024-04-20 13:26:17","30","39","32","0","3.6","3187"
"165","2024-04-20 13:31:18","30","39","32","0","3.6","3255"
"166","2024-04-20 13:36:17","30","39","32","0","3.6","3055"
"167","2024-04-20 13:41:18","30","39","32","0","3.6","3174"
"168","2024-04-20 13:46:18","30","39","32","0","3.6","3184"
"169","2024-04-20 13:51:18","30","39","32","0","9","3194"
"170","2024-04-20 13:56:18","30","39","32","0","9","3323"
"171","2024-04-20 14:01:18","30","39","32","0","9","3199"
"172","2024-04-20 14:06:18","30","39","31","0","9","3201"
"173","2024-04-20 14:11:18","30","39","31","0","9","3224"
"174","2024-04-20 14:16:18","30","39","31","0","9","3209"
"175","2024-04-20 14:21:18","26","39","31","0","9","3234"
"176","2024-04-20 14:26:18","26","39","31","0","9","3106"
"177","2024-04-20 14:31:18","26","39","31","0","9","3202"
"178","2024-04-20 14:36:18","26","39","31","0","9","3127"
"179","2024-04-20 14:41:18","26","39","31","0","9","3149"
"180","2024-04-20 14:46:18","26","39","31","0","9","3161"
"181","2024-04-20 14:51:18","26","40","31","0","13","3207"
"182","2024-04-20 14:56:18","26","40","31","0","13","3062"
"183","2024-04-20 15:01:18","26","40","31","0","13","3262"
"184","2024-04-20 15:06:18","26","40","31","0","13","3110"
"185","2024-04-20 15:11:18","26","40","31","0","13","3184"
"186","2024-04-20 15:16:18","26","40","31","0","13","3187"
"187","2024-04-20 15:21:18","28","39","31","0","13","3211"
"188","2024-04-20 15:26:18","28","39","31","0","13","3196"
"189","2024-04-20 15:31:18","28","39","31","0","13","3194"
"190","2024-04-20 15:36:18","28","39","31","0","13","3143"
"191","2024-04-20 15:41:18","28","39","31","0","13","3197"
"192","2024-04-20 15:46:18","28","39","31","0","13","3150"
"193","2024-04-20 15:51:19","24","39","31","0","3.6","3182"
"194","2024-04-20 15:56:18","24","39","31","0","3.6","3163"
"195","2024-04-20 16:01:18","24","39","31","0","3.6","3152"
"196","2024-04-20 16:06:18","24","39","35","0","3.6","3225"
"197","2024-04-20 16:11:18","24","39","35","0","3.6","3122"
"198","2024-04-20 16:16:18","24","39","35","0","13","2839"
"199","2024-04-20 16:21:18","24","39","35","0","13","3191"
"200","2024-04-20 16:26:18","24","39","35","0","13","3095"
"201","2024-04-20 16:31:18","24","39","35","0","13","3071"
"202","2024-04-20 16:36:18","24","39","35","0","13","3149"
"203","2024-04-20 16:41:18","24","39","35","0","13","3169"
"204","2024-04-20 16:46:18","24","39","35","0","13","3139"
"205","2024-04-20 16:51:18","24","39","35","0","15.1","3211"
"206","2024-04-20 16:56:18","24","39","35","0","15.1","3168"
"207","2024-04-20 17:01:18","24","39","35","0","15.1","3129"
"208","2024-04-20 17:06:18","24","39","50","0","15.1","3130"
"209","2024-04-20 17:11:18","24","39","50","0","15.1","3109"
"210","2024-04-20 17:16:18","24","39","50","0","13","3167"
"211","2024-04-20 17:21:18","24","39","50","0","13","3102"
"212","2024-04-20 17:26:18","24","39","50","0","13","3135"
"213","2024-04-20 17:31:18","24","39","50","0","13","3160"
"214","2024-04-20 17:36:18","24","39","50","0","13","3199"
"215","2024-04-20 17:41:18","24","39","50","0","13","3216"
"216","2024-04-20 17:46:18","24","39","50","0","13","3164"
"217","2024-04-20 17:51:18","40","38","50","0","13","3242"
"218","2024-04-20 17:56:18","40","38","50","0","13","3105"
"219","2024-04-20 18:01:18","40","38","50","0","13","3121"
"220","2024-04-20 18:06:18","40","38","69","0","13","3089"
"221","2024-04-20 18:11:18","40","38","69","0","13","2927"
"222","2024-04-20 18:16:18","40","38","69","0","13","3168"
"223","2024-04-20 18:21:18","45","36","69","0","15.1","3145"
"224","2024-04-20 18:26:18","45","36","69","0","15.1","3104"
"225","2024-04-20 18:31:18","45","36","69","0","15.1","3121"
"226","2024-04-20 18:36:18","45","36","69","0","15.1","3109"
"227","2024-04-20 18:41:18","45","36","69","0","15.1","3123"
"228","2024-04-20 18:46:18","45","36","69","0","15.1","3120"
"229","2024-04-20 18:51:18","47","35","69","0","19.1","3130"
"230","2024-04-20 18:56:18","47","35","74","0","19.1","3117"
"231","2024-04-20 19:01:18","47","35","74","0","19.1","3098"
"232","2024-04-20 19:06:18","47","35","72","0","19.1","3099"
"233","2024-04-20 19:11:19","47","35","72","0","19.1","3128"
"234","2024-04-20 19:16:18","53","34","72","0","19.1","3069"
"235","2024-04-20 19:21:18","53","34","72","0","19.1","2987"
"236","2024-04-20 19:26:18","53","34","72","0","19.1","3150"
"237","2024-04-20 19:31:18","53","34","72","0","19.1","3180"
"238","2024-04-20 19:36:18","53","34","72","0","19.1","3162"
"239","2024-04-20 19:41:18","53","34","72","0","19.1","3130"
"240","2024-04-20 19:46:18","53","34","72","0","19.1","3126"
"241","2024-04-20 19:51:18","50","34","72","0","19.1","3166"
"242","2024-04-20 19:56:18","50","34","72","0","19.1","3153"
"243","2024-04-20 20:01:18","50","34","67","0","19.1","3146"
"244","2024-04-20 20:06:18","50","34","67","0","19.1","3159"
"245","2024-04-20 20:11:19","50","34","67","0","19.1","3154"
"246","2024-04-20 20:16:18","50","34","67","0","19.1","3143"
"247","2024-04-20 20:21:18","53","33","67","0","15.1","3152"
"248","2024-04-20 20:26:18","53","33","67","0","15.1","3152"
"249","2024-04-20 20:31:18","53","33","67","0","15.1","3126"
"250","2024-04-20 20:36:18","53","33","67","0","15.1","3194"
"251","2024-04-20 20:41:18","53","33","67","0","15.1","3177"
"252","2024-04-20 20:46:18","53","33","67","0","15.1","3139"
"253","2024-04-20 20:51:19","56","33","67","0","22","3152"
"254","2024-04-20 20:56:18","56","33","67","0","22","3122"
"255","2024-04-20 21:01:18","56","33","58","0","22","3172"
"256","2024-04-20 21:06:18","56","33","58","0","22","3123"
"257","2024-04-20 21:11:18","56","33","58","0","22","3214"
"258","2024-04-20 21:16:18","56","33","58","0","22","3115"
"259","2024-04-20 21:21:18","63","32","58","0","20.2","3180"
"260","2024-04-20 21:26:18","63","32","58","0","20.2","3150"
"261","2024-04-20 21:31:18","63","32","58","0","20.2","3179"
"262","2024-04-20 21:36:18","63","32","58","0","20.2","3137"
"263","2024-04-20 21:41:18","63","32","58","0","20.2","3116"
"264","2024-04-20 21:46:18","63","32","58","0","20.2","3245"
"265","2024-04-20 21:51:18","71","32","58","0","24.1","3248"
"266","2024-04-20 21:56:18","71","32","58","0","24.1","3201"
"267","2024-04-20 22:01:18","71","32","46","0","24.1","3183"
"268","2024-04-20 22:06:18","71","32","46","0","24.1","3119"
"269","2024-04-20 22:11:18","71","32","46","0","24.1","3123"
"270","2024-04-20 22:16:18","71","32","46","0","24.1","3199"
"271","2024-04-20 22:21:18","79","31","46","0","22","3195"
"272","2024-04-20 22:26:18","79","31","46","0","22","3265"
"273","2024-04-20 22:31:18","79","31","46","0","22","3207"
"274","2024-04-20 22:36:18","79","31","46","0","22","3216"
"275","2024-04-20 22:41:18","79","31","46","0","22","3205"
"276","2024-04-20 22:46:18","79","31","46","0","22","3227"
"277","2024-04-20 22:51:18","79","31","46","0","19.1","3213"
"278","2024-04-20 22:56:18","79","31","46","0","19.1","3106"
"279","2024-04-20 23:01:18","79","31","46","0","19.1","3143"
"280","2024-04-20 23:06:18","79","31","39","0","19.1","3191"
"281","2024-04-20 23:11:18","79","31","39","0","19.1","3216"
"282","2024-04-20 23:16:18","75","31","39","0","20.2","3208"
"283","2024-04-20 23:21:18","75","31","39","0","20.2","3159"
"284","2024-04-20 23:26:18","75","31","39","0","20.2","3268"
"285","2024-04-20 23:31:18","75","31","39","0","20.2","3190"
"286","2024-04-20 23:36:18","75","31","39","0","20.2","3095"
"287","2024-04-20 23:41:18","75","31","39","0","20.2","3098"
"288","2024-04-20 23:46:18","75","31","39","0","20.2","3183"
"289","2024-04-20 23:51:18","75","31","39","0","16.9","3238"
"290","2024-04-20 23:56:18","75","31","39","0","16.9","3167"
"291","2024-04-21 00:01:18","75","31","39","0","16.9","3171"
"292","2024-04-21 00:06:18","75","31","31","0","16.9","3207"
"293","2024-04-21 00:11:18","75","31","31","0","16.9","3139"
"294","2024-04-21 00:16:18","75","31","31","0","16.9","3248"
"295","2024-04-21 00:21:18","75","31","31","0","19.1","3191"
"296","2024-04-21 00:26:18","75","31","31","0","19.1","3201"
"297","2024-04-21 00:31:18","75","31","31","0","19.1","3056"
"298","2024-04-21 00:36:18","75","31","31","0","19.1","3167"
"299","2024-04-21 00:41:18","75","31","31","0","19.1","3225"
"300","2024-04-21 00:46:18","75","31","31","0","19.1","3213"
"301","2024-04-21 00:51:18","75","31","31","0","19.1","3225"
"302","2024-04-21 00:56:18","75","31","31","0","19.1","3181"
"303","2024-04-21 01:01:18","75","31","31","0","19.1","3239"
"304","2024-04-21 01:06:18","75","31","31","0","19.1","3219"
"305","2024-04-21 01:11:18","75","31","31","0","19.1","3201"
"306","2024-04-21 01:16:18","75","31","31","0","20.2","3191"
